lang	pool	index	en_source	translation	note
pt	outcome.success.hard.pool	9	The moment passed.\nWhat remained was order.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	10	Winter is honest.\nSo was your run.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	11	The stars aligned for a moment.\nYou noticed.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	12	The distance closed.\nTime did not.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	13	The world’s rules stood firm.\n And the signal of possibility was real.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	14	The path closed quietly.\nYou were already through.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	15	Nothing changed.\nOnly your position did.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	16	Not luck.\nAlignment.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	17	The moment passed.\nThe record remains.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	18	The outcome didn’t change.\nStill, you moved forward.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	19	The output didn’t change.\nBut you reached a new level.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	20	The ending was the same.\nBut the one who reached it had changed.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	21	The destination is the same\n—but you’re no longer the traveler you once were.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	22	Light fell evenly, ,\nand every shadow vanished.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	23	The wind fell silent.\nand everything returned to where it belonged.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	24	A moment of silence.\nThe world steadied its breath.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	25	The record is etched deep in the sand—\nbeyond the reach of the wind.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	26	Harmony was restored.\nEverything had been for this moment.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	27	Time slipped by in silence,\ntucked away in the corners of memory.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	28	The sky shifted in color,\nand one story came to its end.		exact_en_158_full_rebuild
