lang	pool	index	en_source	translation	note
pt	outcome.success.normal.pool	24	RUN COMPLETE.\nThe path held.\nSo did you.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	25	The sky has kept moving.\nSo can you.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	26	RUN COMPLETE.\nA quiet result.\nThe weight of real work.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	27	You only walked the path\nthe world had laid out for you.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	28	The ground didn’t give way.\nIt trusted your steps.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	29	This moment aligned\nwith the stars’ ancient rhythm.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	30	You didn’t take anything.\n You understood something.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	31	You didn’t gain a thing.\nYou only saw the truth for what it was.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	32	You didn’t take this place.\nYou belonged here.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	33	You walked a road\nolder than memory itself.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	34	The earth did not resist.\nIt recognized you.		exact_en_158_full_rebuild
pt	outcome.success.normal.pool	35	This moment aligned\n with the stillness of the stars.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	1	In the north wind,\nclarity outlasts speed.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	2	The center was found.\n The world came to rest.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	3	The stars stay silent.\nYour record does the speaking.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	4	The result  remained.\nThe position changed.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	5	Between ice and glass,\nyou chose control.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	6	The waves fell quiet,\nand the sea reclaimed its hidden depths.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	7	Some treasures still await.\nNext time, a different path.		exact_en_158_full_rebuild
pt	outcome.success.hard.pool	8	The sky didn’t change.\nYou did.		exact_en_158_full_rebuild
