lang	pool	index	en_source	translation	note
sv	outcome.success.easy.pool	4	> You made it here\n> \n> The rules were simple —\n> \n> the choice was yours.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	5	> Distance became meaning.\n> \n> and time answered your footsteps.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	6	> Not everything shines forever.\n> \n> But this moment did.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	7	Light fell evenly, ,\nand every shadow vanished.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	8	The wind fell silent.\nand everything returned to where it belonged.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	9	A moment of silence.\nThe world steadied its breath.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	10	The record is etched deep in the sand—\nbeyond the reach of the wind.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	11	Harmony was restored.\nEverything had been for this moment.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	12	Time slipped by in silence,\ntucked away in the corners of memory.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	13	The sky shifted in color,\nand one story came to its end.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	14	The waves grew calm,\nand the sea hid its depths once more.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	15	The footsteps stopped,\nand only the place remained.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	16	Victory and defeat \nare nothing more than grains of sand.		unresolved_after_real_sv_apply
sv	outcome.success.easy.pool	17	The road goes on—or it ends.\nEither way, it lies on the same earth.		unresolved_after_real_sv_apply
sv	outcome.success.normal.pool	4	The glass held its breath,\nand you held your ground.		unresolved_after_real_sv_apply
sv	outcome.success.normal.pool	5	Under the stillness of the sky,\nyour spirit did not waver.		unresolved_after_real_sv_apply
sv	outcome.success.normal.pool	6	Few things shine forever.\nbut this moment was radiant.		unresolved_after_real_sv_apply
sv	outcome.success.normal.pool	7	You traversed the fragile earth,\nwithout losing the view.		unresolved_after_real_sv_apply
sv	outcome.success.normal.pool	8	The moment has passed.\nThe legacy remains.		unresolved_after_real_sv_apply
sv	outcome.success.normal.pool	9	Luck fades fast.\norder endures.		unresolved_after_real_sv_apply
