lang	kind	key	value
asl_gloss	ENGLISH_LIKE	outcome.notice.timeUpGameOver	TIME-UP. GAME OVER.
asl_gloss	ENGLISH_LIKE	outcome.notice.retryGuide	TRY AGAIN DIFFERENT ROUTE.
asl_gloss	ENGLISH_LIKE	favorites.chapter.successSub	SUCCESS RUN SAVED LINE
asl_gloss	ENGLISH_LIKE	favorites.chapter.successTitle	SUCCESS
asl_gloss	ENGLISH_LIKE	favorites.chapter.successTpl1	SUCCESS SAVED LINE
asl_gloss	ENGLISH_LIKE	favorites.cover.badge	TREASURERUN FAVORITE
asl_gloss	ENGLISH_LIKE	favorites.cover.head	FAVORITE ARCHIVE
asl_gloss	ENGLISH_LIKE	favorites.empty.head	FAVORITE NONE-YET
asl_gloss	ENGLISH_LIKE	favorites.empty.noFav	FAVORITE SAVE NONE-YET.
asl_gloss	ENGLISH_LIKE	favorites.empty.saveHow	HOW SAVE FAVORITE
asl_gloss	ENGLISH_LIKE	favorites.title	FAVORITE
asl_gloss	ENGLISH_LIKE	favorites.toc.howtoShift	&7CROUCH + RIGHT-CLICK OPEN FAVORITE ARCHIVE
asl_gloss	ENGLISH_LIKE	favorites.auto.favorite_saved_sneak_rightcl_7a73eb4f	★ Favorite saved! (Sneak+RightClick)
asl_gloss	ENGLISH_LIKE	commands.quotefavorite_book_success_o_afe31501	/quoteFavorite book success    - open SUCCESS chapter
asl_gloss	ENGLISH_LIKE	commands.success_normal_en_the_obstac_b627a544	【SUCCESS / Normal / en】\nThe obstacle is the way.
asl_gloss	ENGLISH_LIKE	commands.time_up_bc0cd646	TIME UP
asl_gloss	ENGLISH_LIKE	ui.menu.book.fallbackTitle	TREASURE-RUN RULES
asl_gloss	ENGLISH_LIKE	ui.menu.legacy.toc.message	===== TreasureRun Menu =====\nOpen the rule book from your hotbar to read the rules.
asl_gloss	ENGLISH_LIKE	ui.menu.page.contents.rulesItem	1) Rules
asl_gloss	ENGLISH_LIKE	ui.menu.page.contents.savedOn	Saved on SUCCESS / TIME_UP
asl_gloss	ENGLISH_LIKE	ui.menu.page.contents.tipsItem	2) Tips
asl_gloss	ENGLISH_LIKE	ui.menu.page.note.bookFormat	Minecraft books cannot switch tabs by clicking, so sections are shown as pages.
asl_gloss	ENGLISH_LIKE	ui.quote.intro.tabsTitle	TABS
asl_gloss	ENGLISH_LIKE	ui.quote.legend.success	= Success / Cleared
asl_gloss	ENGLISH_LIKE	ui.quote.legend.timeUp	= Time up
asl_gloss	ENGLISH_LIKE	ui.labels.tab.success	SUCCESS
asl_gloss	ENGLISH_LIKE	ui.labels.outcome.success	SUCCESS
asl_gloss	ENGLISH_LIKE	ui.labels.outcome.timeUp	TIME UP
asl_gloss	ENGLISH_LIKE	ui.labels.page	Page {current}/{total}
asl_gloss	ENGLISH_LIKE	ui.labels.tabs	Tabs
asl_gloss	JP_CJK_LIKE	game.auto.backup_cfe9e6cf	🌊 Backup 海探索で海を検出しました
asl_gloss	JP_CJK_LIKE	game.auto.text_e096c9a4	&6特製エメラルド
asl_gloss	JP_CJK_LIKE	game.auto.dj_onalltreasurescollected_a871afdd	DJイベントはすでに実行中のため、onAllTreasuresCollected をスキップしました。
asl_gloss	JP_CJK_LIKE	game.auto.text_cc353737	全ての宝物を発見しました！
