pool	index	kind	freq	value	note
outcome.success.easy.pool	1	CANDIDATE_1	7	You made it. The truth remains.	
outcome.success.easy.pool	1	CANDIDATE_2	6	Även ett litet steg räknas.	
outcome.success.easy.pool	1	CANDIDATE_3	6	Du klarade det. Sanningen kvarstår.	
outcome.success.easy.pool	2	CANDIDATE_1	7	You listened, and the path opened.	
outcome.success.easy.pool	2	CANDIDATE_2	6	Du lyssnade och vägen öppnade sig.	
outcome.success.easy.pool	3	CANDIDATE_1	7	Distance found its meaning, and time answered your steps.	
outcome.success.easy.pool	3	CANDIDATE_2	6	Distansen fick sin mening och tiden svarade på dina steg.	
outcome.success.easy.pool	4	NO_CANDIDATE	0		
outcome.success.easy.pool	5	NO_CANDIDATE	0		
outcome.success.easy.pool	6	NO_CANDIDATE	0		
outcome.success.easy.pool	7	NO_CANDIDATE	0		
outcome.success.easy.pool	8	NO_CANDIDATE	0		
outcome.success.easy.pool	9	NO_CANDIDATE	0		
outcome.success.easy.pool	10	NO_CANDIDATE	0		
outcome.success.easy.pool	11	NO_CANDIDATE	0		
outcome.success.easy.pool	12	NO_CANDIDATE	0		
outcome.success.easy.pool	13	NO_CANDIDATE	0		
outcome.success.easy.pool	14	NO_CANDIDATE	0		
outcome.success.easy.pool	15	NO_CANDIDATE	0		
outcome.success.easy.pool	16	NO_CANDIDATE	0		
outcome.success.easy.pool	17	NO_CANDIDATE	0		
outcome.success.normal.pool	1	CANDIDATE_1	7	Distance found its meaning. Time answered your journey.	
outcome.success.normal.pool	1	CANDIDATE_2	6	Avstånd blev till mening.	
outcome.success.normal.pool	1	CANDIDATE_3	6	Distansen fick sin mening. Tiden svarade på din resa.	
outcome.success.normal.pool	2	CANDIDATE_1	7	Run complete. A quiet result, backed by real work.	
outcome.success.normal.pool	2	CANDIDATE_2	6	Löpningen klar. Ett stilla resultat, buret av verkligt arbete.	
outcome.success.normal.pool	3	CANDIDATE_1	7	The moment passed. The record remained.	
outcome.success.normal.pool	3	CANDIDATE_2	6	Ögonblicket passerade. Rekordet stannade kvar.	
outcome.success.normal.pool	4	NO_CANDIDATE	0		
outcome.success.normal.pool	5	NO_CANDIDATE	0		
outcome.success.normal.pool	6	NO_CANDIDATE	0		
outcome.success.normal.pool	7	NO_CANDIDATE	0		
outcome.success.normal.pool	8	NO_CANDIDATE	0		
outcome.success.normal.pool	9	NO_CANDIDATE	0		
outcome.success.normal.pool	10	NO_CANDIDATE	0		
outcome.success.normal.pool	11	NO_CANDIDATE	0		
outcome.success.normal.pool	12	NO_CANDIDATE	0		
outcome.success.normal.pool	13	NO_CANDIDATE	0		
outcome.success.normal.pool	14	NO_CANDIDATE	0		
outcome.success.normal.pool	15	NO_CANDIDATE	0		
outcome.success.normal.pool	16	NO_CANDIDATE	0		
outcome.success.normal.pool	17	NO_CANDIDATE	0		
outcome.success.normal.pool	18	NO_CANDIDATE	0		
outcome.success.normal.pool	19	NO_CANDIDATE	0		
outcome.success.normal.pool	20	NO_CANDIDATE	0		
outcome.success.normal.pool	21	NO_CANDIDATE	0		
